Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8270291262135923,0.8136746597537265,0.823413674372848,0.8185151984353354
Random Forest,0.9986019417475728,0.9995071463775259,0.9975405804230202,0.9985228951255539
